child_category_uri,parent_category_uri
http://data.europa.eu/esco/skill/c53a55a1-8b2b-4d2c-b12d-626742a3833a,http://data.europa.eu/esco/skill/cacc62f3-2df4-4cc3-9d5d-0d014db56bd9
http://data.europa.eu/esco/skill/164510d1-1216-4dc0-b9d1-a7f6af19e469,http://data.europa.eu/esco/skill/6f89dcbe-4315-4533-8801-3aadf9190b86
,http://data.europa.eu/esco/isced-f/068
http://data.europa.eu/esco/skill/cd9c487e-09ad-4b82-854b-118feb01f2ed,http://data.europa.eu/esco/skill/82c084ea-15e9-4d55-98dc-ede0f767baee
http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c,http://data.europa.eu/esco/skill/28d2ab6c-38a2-476e-85fe-7982fd242943
http://data.europa.eu/esco/isced-f/0799,http://data.europa.eu/esco/isced-f/079
http://data.europa.eu/esco/skill/193af349-b20e-4277-94bf-b184e92b8d6a,http://data.europa.eu/esco/skill/9827c329-3492-4e8d-852c-da0894228ff6
http://data.europa.eu/esco/skill/a556a3db-cd48-42a5-825c-f95f6f5ccbfe,http://data.europa.eu/esco/skill/c85f95ae-34fb-487b-b3d5-10803eee619d
http://data.europa.eu/esco/skill/06fdd94c-292d-49e3-9c78-bbcbc2088232,http://data.europa.eu/esco/skill/325a3d29-a235-4182-9128-782c0f4b2dcc
http://data.europa.eu/esco/skill/77e41477-4ecf-425b-8163-b18a5a54e593,http://data.europa.eu/esco/skill/73dba04a-7c18-439f-8757-b5f60532ba74
http://data.europa.eu/esco/skill/663e753c-2fc4-4bf6-9a06-a6ab2d705238,http://data.europa.eu/esco/skill/b99283cd-b908-4100-baa5-112692ac22b8
http://data.europa.eu/esco/skill/64aeee4d-3791-4448-8ed8-9b49ad04f2fb,http://data.europa.eu/esco/skill/8bbdf1f1-e943-45fc-af2f-1446cbd88245
http://data.europa.eu/esco/isced-f/0541,http://data.europa.eu/esco/isced-f/054
http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5,http://data.europa.eu/esco/skill/4d7fb3eb-554a-4cf1-a576-bf6e153bdba2
http://data.europa.eu/esco/skill/08104c27-d4b2-4d40-ae97-dde65e71712f,http://data.europa.eu/esco/skill/24ad2ffb-dece-4704-8155-63ea9428d038
,http://data.europa.eu/esco/isced-f/054
http://data.europa.eu/esco/skill/446a36a5-2376-439f-b46b-4a214ba0acdf,http://data.europa.eu/esco/skill/cacc62f3-2df4-4cc3-9d5d-0d014db56bd9
http://data.europa.eu/esco/skill/f73c2c9e-b097-4fcb-95d1-659ea0bd54a3,http://data.europa.eu/esco/skill/9827c329-3492-4e8d-852c-da0894228ff6
http://data.europa.eu/esco/skill/5c2d5780-23ed-4372-bb8d-c1846ee404ae,http://data.europa.eu/esco/skill/1e95cef2-9c35-4f9f-b6a9-cb458c3e5379
http://data.europa.eu/esco/isced-f/0415,http://data.europa.eu/esco/isced-f/041
http://data.europa.eu/esco/isced-f/0732,http://data.europa.eu/esco/isced-f/073
http://data.europa.eu/esco/skill/2258cde2-a95b-4b2c-b105-59e84b0a364b,http://data.europa.eu/esco/skill/9827c329-3492-4e8d-852c-da0894228ff6
http://data.europa.eu/esco/skill/d94e1143-3a3a-4f6a-a881-df93bf56cf23,http://data.europa.eu/esco/skill/3753e796-121e-46a3-9c27-dee31ce92c80
http://data.europa.eu/esco/skill/c7f96545-46c4-451a-b284-014f4baed5ed,http://data.europa.eu/esco/skill/bb99a123-88be-42a2-8758-f5a18e06ccc6
http://data.europa.eu/esco/skill/173fbafb-d2e0-4b89-be1c-548b1cc47160,http://data.europa.eu/esco/skill/548c3fbe-9eb1-4035-bc54-027fd5bc5315
http://data.europa.eu/esco/skill/b036eb5c-6a48-45b9-b2c6-f42f9e336204,http://data.europa.eu/esco/skill/24ad2ffb-dece-4704-8155-63ea9428d038
http://data.europa.eu/esco/skill/db54693e-bcb0-4dae-8885-a43d510fb71f,http://data.europa.eu/esco/skill/6f89dcbe-4315-4533-8801-3aadf9190b86
http://data.europa.eu/esco/skill/dfae80db-cf29-41e1-a48c-2bee901afff1,http://data.europa.eu/esco/skill/2d02d98c-20c4-4b46-bf44-e5f85a3f03ed
,http://data.europa.eu/esco/isced-f/041
,http://data.europa.eu/esco/isced-f/058
http://data.europa.eu/esco/skill/9bdf8a77-8524-43da-bac6-d15d22e1b7ed,http://data.europa.eu/esco/skill/587e1cd6-a376-4c8f-8369-187c128d72a3
http://data.europa.eu/esco/isced-f/061,http://data.europa.eu/esco/isced-f/06
http://data.europa.eu/esco/isced-f/071,http://data.europa.eu/esco/isced-f/07
http://data.europa.eu/esco/isced-f/041,http://data.europa.eu/esco/isced-f/04
http://data.europa.eu/esco/skill/4d7fb3eb-554a-4cf1-a576-bf6e153bdba2,http://data.europa.eu/esco/skill/9b8bb484-dcba-49af-8ae0-cfe8b6e9ed45
http://data.europa.eu/esco/skill/0a295163-3e17-47ad-99ac-2b507ce30adb,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8
http://data.europa.eu/esco/skill/5770f630-9b25-49f3-9d37-e93ec1799749,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8
http://data.europa.eu/esco/skill/587e1cd6-a376-4c8f-8369-187c128d72a3,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740
http://data.europa.eu/esco/skill/e173eaf8-c99b-405a-b0ac-0e02ce3c268d,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740
http://data.europa.eu/esco/skill/6889a21c-837b-49a2-be61-bb6010ab63f4,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8
http://data.europa.eu/esco/skill/75c1ab73-5b00-48a0-818e-93487ebdd7e1,http://data.europa.eu/esco/skill/243eb885-07c7-4b77-ab9c-827551d83dc4
http://data.europa.eu/esco/skill/6f89dcbe-4315-4533-8801-3aadf9190b86,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2
http://data.europa.eu/esco/isced-f/092,http://data.europa.eu/esco/isced-f/09
http://data.europa.eu/esco/skill/7a00c77c-4a1c-4fd6-a83f-004bda65d81a,http://data.europa.eu/esco/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2
http://data.europa.eu/esco/skill/2f661409-3e56-46ab-95d7-6ec7786fc1c0,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8
http://data.europa.eu/esco/skill/b76cd1e5-d5e7-464a-b7bb-4164d3616452,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8
http://data.europa.eu/esco/skill/7b942071-f688-4600-8d9f-ad4c0306abc7,http://data.europa.eu/esco/skill/9b8bb484-dcba-49af-8ae0-cfe8b6e9ed45
http://data.europa.eu/esco/skill/3753e796-121e-46a3-9c27-dee31ce92c80,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740
http://data.europa.eu/esco/skill/3f641516-9846-4a7f-a7f4-e1274eef6688,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8
http://data.europa.eu/esco/isced-f/103,http://data.europa.eu/esco/isced-f/10
