category_uri,name,code,level,parent_uri,parent_name
http://data.europa.eu/esco/skill/6ee936b0-4e0c-4e04-97c7-1f4ee9230d67,developing objectives and strategies,S4.1.0,3,http://data.europa.eu/esco/skill/6f89dcbe-4315-4533-8801-3aadf9190b86,developing objectives and strategies
http://data.europa.eu/esco/skill/eb6cc4ba-4bb8-4348-9a3b-dc419558f66a,advising on design or use of technologies,S1.5.6,3,http://data.europa.eu/esco/skill/24ad2ffb-dece-4704-8155-63ea9428d038,advising and consulting
http://data.europa.eu/esco/skill/190f64e1-b7b6-4c53-b20b-80f9215ef6ca,"directing, supervising and coordinating projects",S4.2.3,3,http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524,"organising, planning and scheduling work and activities"
http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,installing wooden and metal components,S7.1.2,3,http://data.europa.eu/esco/skill/18da3b88-1cd5-4ef3-83d6-664e52afdaba,building and repairing structures
http://data.europa.eu/esco/isced-f/0416,wholesale and retail sales,0416,3,http://data.europa.eu/esco/isced-f/041,business and administration
http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d,"developing financial, business or marketing plans",S4.1.2,3,http://data.europa.eu/esco/skill/6f89dcbe-4315-4533-8801-3aadf9190b86,developing objectives and strategies
http://data.europa.eu/esco/isced-f/0710,engineering and engineering trades not further defined,0710,3,http://data.europa.eu/esco/isced-f/071,engineering and engineering trades
http://data.europa.eu/esco/isced-f/0715,mechanics and metal trades,0715,3,http://data.europa.eu/esco/isced-f/071,engineering and engineering trades
http://data.europa.eu/esco/skill/95bf4552-6d5b-41dc-b990-53ace372f705,"documenting technical designs, procedures, problems or activities",S2.2.6,3,http://data.europa.eu/esco/skill/325a3d29-a235-4182-9128-782c0f4b2dcc,documenting and recording information
http://data.europa.eu/esco/skill/e6eeb84c-ad99-42e2-b883-e6ce338aef59,planning production processes,S4.2.5,3,http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524,"organising, planning and scheduling work and activities"
http://data.europa.eu/esco/isced-f/0211,audio-visual techniques and media production,0211,3,http://data.europa.eu/esco/isced-f/021,arts
http://data.europa.eu/esco/skill/cfd5ab8f-ef8a-4877-8243-ddf17ac74604,planning events and programmes,S4.2.2,3,http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524,"organising, planning and scheduling work and activities"
http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,analysing and evaluating information and data,S2.7.0,3,http://data.europa.eu/esco/skill/3753e796-121e-46a3-9c27-dee31ce92c80,analysing and evaluating information and data
http://data.europa.eu/esco/skill/1d4be2e3-ac64-426f-838d-1e7cb8600927,management skills,S4.0.0,3,http://data.europa.eu/esco/skill/c1a13ee0-b00d-4cfa-a22c-20d284e398b0,management skills
http://data.europa.eu/esco/isced-f/0914,medical diagnostic and treatment technology,0914,3,http://data.europa.eu/esco/isced-f/091,health
http://data.europa.eu/esco/isced-f/1032,protection of persons and property,1032,3,http://data.europa.eu/esco/isced-f/103,security services
http://data.europa.eu/esco/isced-f/1022,occupational health and safety,1022,3,http://data.europa.eu/esco/isced-f/102,hygiene and occupational health services
http://data.europa.eu/esco/skill/20136935-e6a1-417b-81df-9b94d4c2c371,reporting incidents and defects,S2.2.7,3,http://data.europa.eu/esco/skill/325a3d29-a235-4182-9128-782c0f4b2dcc,documenting and recording information
http://data.europa.eu/esco/skill/af84405b-896d-4ed3-9462-077ea9a2a188,collaborating and liaising,S1.2.5,3,http://data.europa.eu/esco/skill/b76cd1e5-d5e7-464a-b7bb-4164d3616452,liaising and networking
http://data.europa.eu/esco/isced-f/0031,personal skills and development,0031,3,http://data.europa.eu/esco/isced-f/003,personal skills and development
http://data.europa.eu/esco/skill/87dff904-fb74-4d59-972e-1c2387579d94,directing operational activities,S4.2.1,3,http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524,"organising, planning and scheduling work and activities"
http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,conducting academic or market research,S2.1.1,3,http://data.europa.eu/esco/skill/c5b71c57-6f78-4c54-b332-ec75848f1095,"conducting studies, investigations and examinations"
http://data.europa.eu/esco/skill/7de7e3f6-d222-4f08-b3f0-e2deff7ef798,providing information and support to the public and clients,S3.4.0,3,http://data.europa.eu/esco/skill/e1746275-6d4e-4b02-b526-eeebf3052b6d,providing information and support to the public and clients
http://data.europa.eu/esco/skill/15fa3879-ac0e-46e6-ae36-609bae9c19c3,monitoring operational activities,S2.8.2,3,http://data.europa.eu/esco/skill/1e95cef2-9c35-4f9f-b6a9-cb458c3e5379,"monitoring, inspecting and testing"
http://data.europa.eu/esco/skill/aab9f44d-fe0e-46d8-a470-11ce82a64846,supervising a team or group,S4.8.1,3,http://data.europa.eu/esco/skill/7a00c77c-4a1c-4fd6-a83f-004bda65d81a,supervising people
